Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
Paradise Canyon-Infinity Pool-Mnt Views-Estate 3,GoodNight Stay,,132386,185101,1521.68,52.1,291,8,8,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.55,11,2,21+,Luxury,false,1050,true,87,24,2026-05-14,Phoenix/Scottsdale,Cave Creek,Fort Mcdowell,Arizona,85264,United States,suburban,https://www.airbnb.com/rooms/52418833,https://a0.muscache.com/im/pictures/hosting/Hosting-52418833/original/5ebd1118-7c5a-4a5c-b60e-0ce19a0c0493.png,52418833,20193814ha,33.62395,-111.60918,49.30,=AVERAGE($D$2:$D$329),2.80,"=IFERROR(($AU24-D24)/$AU24,0)",=$AU24-D24,52715,52418833,Paradise Canyon-Infinity Pool-Mnt Views-Estate 3,,,,,,,,,
Scottsdale 9BR HÓZHÓ Haven,15015202,,676313,743461,5830.28,41.88,281,9,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,2,5,21+,Luxury,true,500,true,116,24,2025-05-12,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/52572848,https://a0.muscache.com/im/pictures/prohost-api/Hosting-52572848/original/1dc30a5a-c2c3-4f02-b482-706ef0a4f03b.jpeg,52572848,3988036,33.755,-111.91195,49.30,=AVERAGE($D$2:$D$329),-7.42,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,67148,52572848,Scottsdale 9BR HÓZHÓ Haven,,,,,,,,,
The Hozho Horizon Estate,217908712,,569044,745713,4516.22,50.4,274,11,10,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,47,4,21+,Luxury,true,1104,false,126,33,2026-05-11,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/53132409,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53132409/original/3760a856-b872-47da-8059-71e77f115ae3.jpeg,53132409,2505961,33.7535,-111.9019,49.30,=AVERAGE($D$2:$D$329),1.10,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,176669,53132409,The Hozho Horizon Estate,,,,,,,,,
SWSS Pool • Golf Simulator • Sauna • Cold Plunge,StayWithStyleScottsdale,,484483,545355,2446.88,64.92,305,8,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,46,2,21+,Luxury,true,875,true,198,52,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/53329294,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53329294/original/e0f20ece-440b-44c9-833b-37572a926602.jpeg,53329294,2544935,33.5915,-111.9154,53.10,=AVERAGE($D$2:$D$596),11.82,"=IFERROR(($AU13-D13)/$AU13,0)",=$AU13-D13,60872,53329294,SWSS Pool • Golf Simulator • Sauna • Cold Plunge,,,,,,,,,
"Arcades,Golf,Pickleball,Theater,Gym &Swim-up Bar!",Porter VRM,,300187,361873,1443.21,68.42,304,7,4,16,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,4.65,90,4,21+,Luxury,false,826,true,208,56,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/53478007,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53478007/original/797195e3-72dd-4da6-9b2a-e62f9746abd4.jpeg,53478007,1717920,33.5858,-111.8712,53.10,=AVERAGE($D$2:$D$596),15.32,"=IFERROR(($AU45-D45)/$AU45,0)",=$AU45-D45,61686,53478007,"Arcades,Golf,Pickleball,Theater,Gym &Swim-up Bar!",,,,,,,,,
The Hozho Serenity Estate,217908712,,561167,619036,2791.88,62.42,322,8,8,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,73,4,21+,Luxury,true,2106,false,201,48,2026-05-13,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/54121795,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54121795/original/1a22a591-89a1-4710-89cf-ce5fcf45235a.jpeg,54121795,2617321,33.7543,-111.9034,49.30,=AVERAGE($D$2:$D$329),13.12,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,57869,54121795,The Hozho Serenity Estate,,,,,,,,,
Scottsdale Desert Retreat: 8BR Secluded Paradise,15015202,,136160,206837,3404,23.95,167,8,8,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,5,21+,Luxury,true,700,true,40,9,2025-04-26,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/54123276,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54123276/original/23013cc6-5abe-4816-afed-537dc0857d26.jpeg,54123276,,33.75339,-111.90345,49.30,=AVERAGE($D$2:$D$329),-25.35,"=IFERROR(($AU23-D23)/$AU23,0)",=$AU23-D23,70677,54123276,Scottsdale Desert Retreat: 8BR Secluded Paradise,,,,,,,,,
Paradise Palace - 9BR Premier Private Compound,VacayAZ,,248471,308675,1956.46,42.76,302,9,7,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.9,99,3,21+,Luxury,true,1779,true,127,35,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/54264403,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54264403/original/563304e1-8bcb-4f16-915d-474ebdee64be.jpeg,54264403,2622264,33.5943,-111.86271,53.10,=AVERAGE($D$2:$D$596),-10.34,"=IFERROR(($AU78-D78)/$AU78,0)",=$AU78-D78,60204,54264403,Paradise Palace - 9BR Premier Private Compound,,,,,,,,,
SWSS Pool • Water Slide • Tennis & Pickleball,StayWithStyleScottsdale,,428080,471591,2129.75,60.91,330,7,7,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,81,2,21+,Luxury,true,925,true,201,45,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85260,United States,suburban,https://www.airbnb.com/rooms/54281814,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54281814/original/54d46dd8-a263-408e-bea6-4023784bfb4a.jpeg,54281814,2215918,33.6076,-111.9047,53.10,=AVERAGE($D$2:$D$596),7.81,"=IFERROR(($AU21-D21)/$AU21,0)",=$AU21-D21,43511,54281814,SWSS Pool • Water Slide • Tennis & Pickleball,,,,,,,,,
Renovated | Famous Cabin | Hot Tub | AC | Mountain,Dwell Rentals,,147304,157824,950.35,45.72,339,6,3,14,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,161,4,21+,Luxury,true,418,true,155,47,2026-05-10,Flagstaff,Flagstaff,Flagstaff,Arizona,86004,United States,mid_size_city,https://www.airbnb.com/rooms/568147624472220413,https://a0.muscache.com/im/pictures/prohost-api/Hosting-568147624472220413/original/e196b44e-17da-4ece-b023-4a41bdef2b93.jpeg,568147624472220413,2677911,35.1998,-111.5861,43.98,=AVERAGE($D$2:$D$130),1.74,"=IFERROR(($AU20-D20)/$AU20,0)",=$AU20-D20,10520,568147624472220413,Renovated | Famous Cabin | Hot Tub | AC | Mountain,,,,,,,,,
SWSS 2 Homes • Pool • Splash Pad • Putting Green,StayWithStyleScottsdale,,277755,306002,1587.17,54.86,319,7,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,50,2,21+,Luxury,true,825,true,175,45,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/569076659909289772,https://a0.muscache.com/im/pictures/prohost-api/Hosting-569076659909289772/original/5dcc016b-c098-4fa7-bcdf-c83faf6b743a.jpeg,569076659909289772,2519023,33.61,-111.9447,53.10,=AVERAGE($D$2:$D$596),1.76,"=IFERROR(($AU60-D60)/$AU60,0)",=$AU60-D60,28247,569076659909289772,SWSS 2 Homes • Pool • Splash Pad • Putting Green,,,,,,,,,
The Hozho Tranquility Estate,217908712,,359866,391197,2448.07,44.41,331,8,9,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,46,4,21+,Luxury,true,1128,false,147,39,2026-05-17,Phoenix/Scottsdale,Cave Creek,Scottsdale,Arizona,85266,United States,suburban,https://www.airbnb.com/rooms/587134761793595239,https://a0.muscache.com/im/pictures/prohost-api/Hosting-587134761793595239/original/ef54dbf3-b63e-4242-80e0-5a8894027f93.jpeg,587134761793595239,2682732,33.7535,-111.9019,49.30,=AVERAGE($D$2:$D$329),-4.89,"=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8,31331,587134761793595239,The Hozho Tranquility Estate,,,,,,,,,
