Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
Luxury 5-Bed Home on Main St. BBQ & Hot Tub,Exceptional Stays,,360665,364179,3920.27,61.74,361,5,4,12,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,0,0,14,21+,Luxury,true,1381,false,92,6,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1222442229045464880,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1222442229045464880/original/21ec5665-d026-4918-83b1-3cf66634ee66.jpeg,1222442229045464880,4145381,37.93858,-107.81501,42.79,=AVERAGE($D$2:$D$151),18.95,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,3514,1222442229045464880,Luxury 5-Bed Home on Main St. BBQ & Hot Tub,,,,,,,,,
"Skibakken Chalet: Ski-in/out, Panoramic Deck Views",River Ridge Rentals,,322825,647562,3797.94,59.44,195,5,7,12,false,true,true,true,true,true,false,Home/Apartment,House,House/villa,5,10,1,21+,Luxury,true,1392,true,85,14,2026-05-16,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1258822383529413128,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1258822383529413128/original/0dd8f68d-7b53-4d37-9c24-f1a24cc98f28.jpeg,1258822383529413128,20054740ha,39.4962531622,-106.1421291724,51.79,=AVERAGE($D$2:$D$501),7.65,"=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8,324737,1258822383529413128,"Skibakken Chalet: Ski-in/out, Panoramic Deck Views",,,,,,,,,
"Bee Line Escape: Ski-in/out, Golf, Private Hot Tub",River Ridge Rentals,,170154,226622,2238.87,42.46,254,6,6,16,false,true,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,25,1,21+,Luxury,true,1006,true,76,17,2026-05-11,Frisco/Silverthorne,Frisco,Frisco,Colorado,80443,United States,mountains_lakes,https://www.airbnb.com/rooms/1279122852064675247,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1279122852064675247/original/25df2655-83a9-4fa1-ae7f-4a7f723675ad.jpeg,1279122852064675247,20057637ha,39.4966568007,-106.1430225479,43.11,=AVERAGE($D$2:$D$501),-0.65,"=IFERROR(($AU21-D21)/$AU21,0)",=$AU21-D21,56468,1279122852064675247,"Bee Line Escape: Ski-in/out, Golf, Private Hot Tub",,,,,,,,,
Resort Home 1040 - HotTub - Discounted Attractions,Winter Park Escapes,,154742,186678,1333.98,41.43,319,5,4,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.85,11,2,21+,Luxury,true,898,true,116,33,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/1288416545940156268,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1288416545940156268/original/a7c54732-c3eb-4872-9b12-42b5b5880515.jpeg,1288416545940156268,20073165ha,39.8918,-105.7568,44.88,=AVERAGE($D$2:$D$501),-3.45,"=IFERROR(($AU20-D20)/$AU20,0)",=$AU20-D20,31936,1288416545940156268,Resort Home 1040 - HotTub - Discounted Attractions,,,,,,,,,
Slopeside 6 Bedroom (S1A),27275851,,745063,755566,6008.57,56.88,221,5,5,14,false,false,false,true,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,0,0,1,21+,Luxury,false,0,true,124,16,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1333940432910883654,https://a0.muscache.com/im/pictures/miso/Hosting-1333940432910883654/original/0c428802-d7b0-4cdc-97c0-89db258d4a10.jpeg,1333940432910883654,,37.9367915323,-107.817110891,42.79,=AVERAGE($D$2:$D$151),14.09,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,10503,1333940432910883654,Slopeside 6 Bedroom (S1A),,,,,,,,,
3 Mi to Rocky Mtn National Park: Estes Park Cabin!,Evolve,,111172,142451,1355.76,33.74,307,7,6,16,false,false,true,true,false,false,false,Home/Apartment,House,House/villa,4.7,9,3,21+,Luxury,false,296,true,82,18,2026-05-14,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1344397243649776589,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1344397243649776589/original/8801a7e3-cdab-42a6-b3c1-0b6764f004cf.jpeg,1344397243649776589,20105845ha,40.3647,-105.5385,38.56,=AVERAGE($D$2:$D$501),-4.82,"=IFERROR(($AU114-D114)/$AU114,0)",=$AU114-D114,31279,1344397243649776589,3 Mi to Rocky Mtn National Park: Estes Park Cabin!,,,,,,,,,
"Crown Jewel of Keystone | Pool, Gym, Sleeps 19",AvantStay,,491082,566199,3252.2,51.01,300,7,12,16,false,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,25,2,21+,Luxury,false,2120,true,151,36,2026-05-14,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1374660213903264050,https://a0.muscache.com/im/pictures/hosting/Hosting-1374660213903264050/original/fe36429b-ab22-4f17-ba9e-20925276d470.jpeg,1374660213903264050,4477258,39.60612,-105.97081,59.30,=AVERAGE($D$2:$D$439),-8.30,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,75117,1374660213903264050,"Crown Jewel of Keystone | Pool, Gym, Sleeps 19",,,,,,,,,
Wildflower Retreat- Close To The RMNP,Estes Park Property Management,,154867,178618,1701.84,34.08,321,5,3,12,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,10,3,21+,Luxury,false,740,true,91,17,2026-05-16,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1376756581963507811,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1376756581963507811/original/c34d6760-2b64-4fe6-a6d8-dd70351cee9b.jpeg,1376756581963507811,4483377,40.3971,-105.5735,48.54,=AVERAGE($D$2:$D$501),-14.46,"=IFERROR(($AU62-D62)/$AU62,0)",=$AU62-D62,23751,1376756581963507811,Wildflower Retreat- Close To The RMNP,,,,,,,,,
Hearthstone Luxury Vacation Rental at Windcliff,RedAwning,,430159,573420,5245.84,49.1,190,5,4,10,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,false,952,true,82,15,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1420223914759494129,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1420223914759494129/original/0e7d30e6-c0bb-45fd-be06-8be1841e5b09.jpeg,1420223914759494129,20148508ha,40.332429,-105.552158,48.54,=AVERAGE($D$2:$D$501),0.56,"=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7,143261,1420223914759494129,Hearthstone Luxury Vacation Rental at Windcliff,,,,,,,,,
Elkpoint Townhome 8 - Ski in/Ski Out - Views,Vacation Rental Collective,,109587,125699,1660.41,61.68,240,5,4,15,false,true,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,5,49,1,21+,Luxury,true,642,true,66,14,2026-05-13,Durango,Purgatory,Durango,Colorado,81301,United States,mountains_lakes,https://www.airbnb.com/rooms/1432052962580048873,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1432052962580048873/original/da129b8c-3ab9-43a8-8381-c2a3d7a69a7d.jpeg,1432052962580048873,4607888,37.6286,-107.8145,49.84,=AVERAGE($D$2:$D$448),11.84,"=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14,16112,1432052962580048873,Elkpoint Townhome 8 - Ski in/Ski Out - Views,,,,,,,,,
Sleeps 19 | Winterhaven Estate by AvantStay,AvantStay,,277238,316564,2567.02,41.7,290,11,8,16,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.8,17,2,21+,Luxury,false,1610,true,108,26,2026-05-14,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/1436475335926327540,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1436475335926327540/original/93098c07-d75a-4627-8261-324ea6df60dc.jpeg,1436475335926327540,4628676,39.91569,-105.7955,44.09,=AVERAGE($D$2:$D$501),-2.39,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,39326,1436475335926327540,Sleeps 19 | Winterhaven Estate by AvantStay,,,,,,,,,
Modern Riverfront Retreat with Views | Riverlight,Moving Mountains,,198259,206200,3146.97,57.8,206,5,4,12,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,4,21+,Luxury,true,225,false,63,11,2026-05-11,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1451468232444459033,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1451468232444459033/original/435c5454-def9-42c6-b36e-20bd7bb9b18b.jpeg,1451468232444459033,4665418,40.4812832442,-106.8312729191,57.80,=AVERAGE($D$2:$D$32),0,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,7941,1451468232444459033,Modern Riverfront Retreat with Views | Riverlight,,,,,,,,,
Luxury Riverside Retreat | Yampa Vista Grande,Moving Mountains,,471105,488796,5745.18,49.7,200,10,8,16,true,false,true,true,true,true,false,Home/Apartment,Townhouse,Apt/Condo/Loft,0,0,4,21+,Luxury,true,249,false,82,16,2026-05-11,Steamboat Springs,Steamboat Springs Downtown,Steamboat Springs,Colorado,80487,United States,mountains_lakes,https://www.airbnb.com/rooms/1492878155576098315,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1492878155576098315/original/4a8bdccb-c53f-4f6d-8a95-bb6fcb41fea4.jpeg,1492878155576098315,4771236,40.4828355903,-106.8310941581,49.70,=AVERAGE($D$2:$D$32),0,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,17691,1492878155576098315,Luxury Riverside Retreat | Yampa Vista Grande,,,,,,,,,
